degree,branch,year,cgpa,attendance,study_hours,self_learning_hours,sleep_hours,screen_time,assignment_score,internal_marks,backlogs,projects_count,hackathons_count,certifications_count,github_activity_score,linkedin_activity_score,programming_score,sql_score,dsa_score,communication_score,aptitude_score,internships_count,resume_score,ats_score,goal,target_role,academic_score,academic_category,employability_score,placement_probability,sector
B.Tech,IT,1,6.78,83,2.5,3.1,6.3,6.1,73,80,0,3,2,7,70,47,69,70,38,37,64,0,66,63,Government Exam,Data Analyst,65.2,Average,49.6,49.9,Tech
Law,Criminal,4,8.21,68,2.4,3.2,7.7,4.5,81,100,0,8,5,7,100,67,98,64,60,53,65,0,84,86,Placement,Data Analyst,86.2,Good,48.9,44.9,Law
BBA,HR,1,7.14,68,3.9,0.8,8.2,3.3,89,78,0,1,0,3,28,49,51,42,51,57,71,0,47,40,Placement,Business Analyst,65.6,Average,32.7,41.9,Management
BCA,General,4,7.87,74,5.7,3.3,7.3,2.0,90,85,0,8,5,3,100,100,93,28,66,50,63,3,100,100,Government Exam,ML Engineer,96.5,Excellent,77.1,76.9,Tech
B.Tech,ECE,3,6.75,69,3.6,2.2,8.5,8.9,61,80,1,6,3,5,64,70,75,71,47,67,54,0,80,82,Higher Studies,ML Engineer,60.8,Average,59.8,65.5,Tech
B.Tech,ECE,3,9.64,100,4.0,2.0,5.1,9.0,90,94,0,5,3,5,97,62,60,71,36,52,64,1,74,74,Placement,Data Analyst,89.5,Good,59.0,61.4,Tech
B.Tech,IT,3,7.9,76,4.0,3.0,6.8,8.0,85,78,0,7,3,6,99,61,91,71,67,53,62,2,100,95,Higher Studies,ML Engineer,83.2,Good,76.3,71.9,Tech
B.Com,Hons,2,6.99,82,5.9,2.5,8.4,5.4,90,90,0,4,3,2,50,41,69,53,67,62,61,1,81,82,Placement,Data Analyst,78.2,Good,46.7,55.2,Commerce
BCA,General,3,8.1,73,5.8,0.7,7.3,7.6,90,92,0,2,3,3,39,61,43,84,34,59,72,2,67,74,Government Exam,Data Analyst,75.8,Good,52.3,57.8,Tech
BBA,HR,1,6.45,74,4.7,3.6,6.2,6.6,91,80,0,5,3,1,56,34,93,75,73,72,52,0,69,68,Placement,Data Analyst,73.8,Average,45.0,46.1,Management
B.Tech,AI&DS,3,7.65,83,6.4,3.8,7.8,3.7,85,79,0,6,4,4,89,55,74,69,65,62,73,0,66,63,Placement,ML Engineer,92.8,Excellent,61.3,62.9,Tech
Law,Corporate,3,8.05,71,3.9,1.8,7.1,8.3,89,85,0,5,6,3,78,83,69,65,50,55,67,1,75,76,Placement,Software Engineer,77.0,Good,47.1,50.9,Law
B.Com,General,4,8.76,90,7.1,3.2,6.5,7.0,100,97,1,8,5,6,100,70,100,46,67,70,77,1,92,88,Entrepreneurship,ML Engineer,94.6,Excellent,56.5,65.1,Commerce
B.Tech,ECE,2,8.6,62,3.6,3.6,5.4,7.5,100,95,0,6,3,7,94,44,83,88,83,69,68,0,80,83,Government Exam,Software Engineer,85.8,Good,69.0,82.1,Tech
B.Tech,IT,1,8.33,86,1.5,0.3,7.7,6.7,100,91,1,1,1,0,29,46,43,61,29,47,45,0,46,46,Government Exam,ML Engineer,55.2,Average,34.7,36.9,Tech
